,Holding Period Returns,,,,,,,
DATE,MSFT,XOM,GE,JPM,INTC,C,VWRETD,SPRTRN
20.12.90,0.008347,-0.00248,0.015453,0.010638,0.033113,-0.03175,0.000605,-0.00024
21.12.90,0.003311,0.007444,0.008696,-0.04211,0.025641,0.010929,0.003009,0.004938
24.12.90,-0.0066,0.009852,-0.00647,-0.01099,-0.02813,-0.01081,-0.00369,-0.00558
26.12.90,-0.00332,0.009756,-0.00434,0.011111,-0.03537,-0.00546,0.002637,0.00288
27.12.90,-0.00333,-0.00966,-0.00218,-0.02198,-0.01333,0,-0.00572,-0.00774
28.12.90,0.003344,0.007317,0.002183,-0.02247,0.023649,-0.01099,0.000361,0.00131
31.12.90,0.003333,0.002421,0,-0.01149,0.016502,0.016667,0.00498,0.004563
02.01.91,-0.00665,-0.01932,-0.01525,0.046512,0,0.010929,-0.00881,-0.01142
03.01.91,0.006689,0.004926,-0.02212,0,0,0,-0.01182,-0.01391
04.01.91,0.008306,0.009804,-0.01131,0.011111,0.006494,0.027027,-0.00231,-0.00283
07.01.91,-0.01318,-0.01214,-0.01602,-0.04396,-0.00968,-0.01579,-0.01635,-0.01732
08.01.91,-0.01836,-0.00246,0.009302,0,-0.00977,-0.02139,-0.00273,-0.00171
09.01.91,0.006803,-0.01724,-0.0023,-0.03448,0.009868,-0.04372,-0.00909,-0.01083
10.01.91,0.057432,0.010025,0,0.02381,0.009772,0.017143,0.00943,0.00976
11.01.91,-0.0032,-0.00993,-0.00231,0.023256,0.025806,0.022472,0.000868,0.002226
14.01.91,-0.01603,0.002506,0.002315,-0.03409,-0.00629,0.010989,-0.00951,-0.00869
15.01.91,0.021173,-0.0025,0.004619,0.023529,0.022152,-0.00544,0.003182,0.003968
16.01.91,0.049442,-0.00251,0.004598,0.011494,0.043344,0,0.009465,0.007777
17.01.91,0.021277,0.022613,0.061785,0,-0.00297,0.04918,0.033071,0.037322
18.01.91,0.014881,0.014742,-0.00216,0.011364,0.041667,0.020833,0.009022,0.012989
21.01.91,0.049853,-0.00726,-0.00864,0.05618,0.028571,0.015306,-0.00075,-0.00352
22.01.91,-0.00698,-0.00732,-0.01307,0.06383,-0.02778,-0.00503,-0.0059,-0.00831
23.01.91,0.001406,0.022113,0.011038,0.01,0.002857,-0.00505,0.005906,0.005787
24.01.91,0.016854,0,0.021834,-0.0099,-0.00285,0.015228,0.014341,0.01384
25.01.91,-0.01105,0.012019,0.023504,0.06,0.005714,-0.01,0.004249,0.003853
28.01.91,0.030726,-0.00238,0.012526,0,0,-0.0303,0.001523,-0.00012
29.01.91,0.00271,-0.00952,0,0.009434,0.011364,0.045833,0.001067,-0.00057
30.01.91,0.040541,-0.00481,0.02268,-0.02804,0.005618,0.03,0.014962,0.015096
31.01.91,0.019481,-0.00242,0.032258,0.009615,0.022346,0.024272,0.009568,0.008859
01.02.91,0.016561,-0.02179,0,0.038095,0.027322,0.023697,0.000271,-0.00256
04.02.91,-0.00627,0.014851,0.017578,0.137615,0,0.018519,0.015715,0.01542
05.02.91,0.021438,0.000878,0.019194,-0.00807,0.021277,0.022727,0.010277,0.008383
06.02.91,0.044444,0.044444,0.003766,0,0.041667,0.022222,0.017859,0.019387
07.02.91,-0.02601,0.016548,-0.02627,0.00813,-0.015,-0.01739,-0.00343,-0.00433
08.02.91,0.009709,-0.01163,0.00578,0.024194,-0.01777,0,0.006692,0.007938
11.02.91,0.002404,0.025882,0.022989,0.094488,0.023256,0.035398,0.023407,0.025685
